Titles,Source,Target,Genre,Month,Year,Lanuage,Country,Type
Whispering Muse,Sjon,"Cribb, Victoria",Fiction,May,2013,Icelandic,Iceland,Undirected
Incomplete Manuscript,"Abdulla, Kamal","Thompson, Anne",Fiction,Jan,2013,Azerbaijani,Azerbaijan,Undirected
High Tide,"Abele, Inga","Straumanis, Kaija",Fiction,Sept,2013,Latvian,Latvia,Undirected
And the Hippies Came,"Abreu Adorno, Manuel","Steeves, Rafael Franco",Fiction,June,2013,Spanish,Puerto Rico,Undirected
My Voice Seeks You,"Addolorato, Annalisa","Bennett, Maria",Poetry,Sept,2013,Italian,Italy,Undirected
Conspiracy of Faith,"Adler-Olsen, Jussi","Aitkin, Martin",Fiction,May,2013,Danish,Denmark,Undirected
Purity of Vengeance,"Adler-Olsen, Jussi","Aitkin, Martin",Fiction,Dec,2013,Danish,Denmark,Undirected
Shantytown,"Aira, Cesar","Andrews, Chris",Fiction,Nov,2013,Spanish,Argentina,Undirected
"Jazz, Perfume and the Incident","Ajidarma, Seno Gumira","Harris, Gregory",Fiction,Jan,2013,Indonesian,Indonesia,Undirected
"Earth Weeps, Saturn Laughs","al Farsi, Abdulaziz","Roberts, Nancy",Fiction,Feb,2013,Arabic,Oman,Undirected
"Leg over Leg, Volume 1","al-Shidyaq, Ahmad Faris","Davies, Humphrey",Fiction,Aug,2013,Arabic,Lebanon,Undirected
"Leg over Leg, Volume 2","al-Shidyaq, Ahmad Faris","Davies, Humphrey",Fiction,Aug,2013,Arabic,Lebanon,Undirected
Dove's Necklace,"Alem, Raja","Halls, Katharine",Fiction,Oct,2013,Arabic,Saudi Arabia,Undirected
Stargorod,"Aleshkovsky, Peter","Shevchuk-Murray, Nina",Fiction,Feb,2013,Russian,Russia,Undirected
"Captain Cap: His Adventures, His Ideas, His Drinks","Allais, Alphonse","Skinner, Doug",Fiction,Oct,2013,French,France,Undirected
Free City,"Almino, Joao","McNeil, Rhett",Fiction,Sept,2013,Portuguese,Brazil,Undirected
Sultan of Byzantium,"Altun, Selcuk","Endres, Clifford",Fiction,Apr,2013,Turkish,Turkey,Undirected
