ID,Label,Category,Place,"Lat., Long.",PubType,Affiliation,Gender
"Abad, Hector","Abad, Hector",Author,,,,,M
"Abasiyanik, Sait Faik","Abasiyanik, Sait Faik",Author,,,,,
"Abate, Carmine","Abate, Carmine",Author,,,,,
"Abdelmegid, Bahaa","Abdelmegid, Bahaa",Author,,,,,
"Abdoh, Salar","Abdoh, Salar",Author,,,,,
"Abdolah, Kader","Abdolah, Kader",Author,,,,,
"Abdulla, Kamal","Abdulla, Kamal",Author,,,,,
"Abdullah, Yahya Taher","Abdullah, Yahya Taher",Author,,,,,
"Abele, Inga","Abele, Inga",Author,,,,,
"Abonji, Melinda Nadj","Abonji, Melinda Nadj",Author,,,,,
"Abreu Adorno, Manuel","Abreu Adorno, Manuel",Author,,,,,
"Acosta, Carlos","Acosta, Carlos",Author,,,,,
"Adam, Olivier","Adam, Olivier",Author,,,,,
"Adam, Suzane","Adam, Suzane",Author,,,,,
"Adamesteanu, Gabriela","Adamesteanu, Gabriela",Author,,,,,
"Adamovich, Ales","Adamovich, Ales",Author,,,,,
"Addolorato, Annalisa","Addolorato, Annalisa",Author,,,,,
"Adler-Olsen, Jussi","Adler-Olsen, Jussi",Author,,,,,
"Adler, H. G.","Adler, H. G.",Author,,,,,
"Adolphsen, Peter","Adolphsen, Peter",Author,,,,,
"Adonis, ","Adonis, ",Author,,,,,
"Agaoglu, Adalet","Agaoglu, Adalet",Author,,,,,
"Agnon, S. Y.","Agnon, S. Y.",Author,,,,,
"Agosin, Marjorie","Agosin, Marjorie",Author,,,,,
"Agrafiotis, Demosthenes","Agrafiotis, Demosthenes",Author,,,,,
"Aguado, Jesus","Aguado, Jesus",Author,,,,,
"Agualusa, Jose Eduardo","Agualusa, Jose Eduardo",Author,,,,,
"Agudelo, Dario Jaramillo","Agudelo, Dario Jaramillo",Author,,,,,
"Agus, Milena","Agus, Milena",Author,,,,,
"Ahmad, Nazir","Ahmad, Nazir",Author,,,,,
"Aidt, Naja Marie","Aidt, Naja Marie",Author,,,,,
"Aine, J.-H. Rosny","Aine, J.-H. Rosny",Author,,,,,
"Aira, Cesar","Aira, Cesar",Author,,,,,
"Ajidarma, Seno Gumira","Ajidarma, Seno Gumira",Author,,,,,
"Ajvaz, Michal","Ajvaz, Michal",Author,,,,,
"Akin, Gulten","Akin, Gulten",Author,,,,,
"Akunin, Boris","Akunin, Boris",Author,,,,,
"al Farsi, Abdulaziz","al Farsi, Abdulaziz",Author,,,,,
"al-Ahdal, Wajdi","al-Ahdal, Wajdi",Author,,,,,
"al-Ameer, Rasha","al-Ameer, Rasha",Author,,,,,
"al-Atiq, Fahd","al-Atiq, Fahd",Author,,,,,
"al-Azzawi, Fadhil","al-Azzawi, Fadhil",Author,,,,,
"Al-Ghitani, Gamal","Al-Ghitani, Gamal",Author,,,,,
"al-Jubouri, Amal","al-Jubouri, Amal",Author,,,,,
"al-Koni, Ibrahim","al-Koni, Ibrahim",Author,,,,,
"al-Ma'arri, Abu l-'Ala'","al-Ma'arri, Abu l-'Ala'",Author,,,,,
"al-Madhoun, Raba'i","al-Madhoun, Raba'i",Author,,,,,
"al-Mohaimeed, Yousef","al-Mohaimeed, Yousef",Author,,,,,
"al-Ramli, Muhsin","al-Ramli, Muhsin",Author,,,,,
"al-Saqr, Mahdi Issa","al-Saqr, Mahdi Issa",Author,,,,,
"al-Shidyaq, Ahmad Faris","al-Shidyaq, Ahmad Faris",Author,,,,,
"Al-Suwaidi, Thani","Al-Suwaidi, Thani",Author,,,,,
"al-Tahawy, Miral","al-Tahawy, Miral",Author,,,,,
"Alaux, Jean-Pierre","Alaux, Jean-Pierre",Author,,,,,
"Albahari, David","Albahari, David",Author,,,,,
"Alem, Raja","Alem, Raja",Author,,,,,
"Aleshkovsky, Peter","Aleshkovsky, Peter",Author,,,,,
"Alexandrova-Zorina, Liza","Alexandrova-Zorina, Liza",Author,,,,,
"Alferi, Pierre","Alferi, Pierre",Author,,,,,
"Alisanka, Eugenijus","Alisanka, Eugenijus",Author,,,,,
"Allais, Alphonse","Allais, Alphonse",Author,,,,,
"Allemann, Urs","Allemann, Urs",Author,,,,,
"Allende, Isabel","Allende, Isabel",Author,,,,,
"Allfrey, Ellah Wakatama","Allfrey, Ellah Wakatama",Author,,,,,
"Almino, Joao","Almino, Joao",Author,,,,,
"Alomar, Osama","Alomar, Osama",Author,,,,,
"Alonso, Nancy","Alonso, Nancy",Author,,,,,
"Altenberg, Peter","Altenberg, Peter",Author,,,,,
