ID,Label,Category,Place,"Lat., Long.",PublisherType,Affiliation,Gender
7Vientos,7Vientos,Publisher,Chicago,"41.8500300, -87.6500500",Independent Press,,
Abacus,Abacus,Publisher,,,,,
Action Books,Action Books,Publisher,,,,,
Aflame Books,Aflame Books,Publisher,,,,,
Agincourt Press,Agincourt Press,Publisher,,,,,
Ahadada Books,Ahadada Books,Publisher,,,,,
Akashic Books,Akashic Books,Publisher,,,,,
Alice James Books,Alice James Books,Publisher,,,,,
Aliform,Aliform,Publisher,,,,,
Alma,Alma,Publisher,,,,,
Almost Island,Almost Island,Publisher,,,,,
AmazonCrossing,AmazonCrossing,Publisher,,,,,
American University at Cairo,American University at Cairo,Publisher,Cairo,"30.0626300, 31.2496700",,,
And Other Stories,And Other Stories,Publisher,,,,,
Anomalous Press,Anomalous Press,Publisher,,,,,
Anthem,Anthem,Publisher,,,,,
Antibookclub,Antibookclub,Publisher,,,,,
Anvil Press,Anvil Press,Publisher,,,,,
Aqueduct Press,Aqueduct Press,Publisher,,,,,
Arc Publications,Arc Publications,Publisher,,,,,
Arcade,Arcade,Publisher,,,,,
Arcadia,Arcadia,Publisher,,,,,
Archipelago,Archipelago,Publisher,,,,,
Ariadne Books,Ariadne Books,Publisher,,,,,
Arsenal Pulp Press,Arsenal Pulp Press,Publisher,,,,,
Arte Publico,Arte Publico,Publisher,,,,,
Atlantic Books,Atlantic Books,Publisher,,,,,
Atlantic Monthly,Atlantic Monthly,Publisher,,,,,
Atlas,Atlas,Publisher,,,,,
Atria,Atria,Publisher,,,,,
Aunt Lute,Aunt Lute,Publisher,,,,,
Aurora Metro Press,Aurora Metro Press,Publisher,,,,,
Autumn Hill,Autumn Hill,Publisher,,,,,
Baldini Castoldi Dalai,Baldini Castoldi Dalai,Publisher,,,,,
Bantam,Bantam,Publisher,,,,,
Baraka,Baraka,Publisher,,,,,
Barcelona Books,Barcelona Books,Publisher,,,,,
Bellevue Literary Press,Bellevue Literary Press,Publisher,,,,,
Bento Books,Bento Books,Publisher,,,,,
Biblioasis,Biblioasis,Publisher,,,,,
Biblioteca de Textos Universitarios,Biblioteca de Textos Universitarios,Publisher,,,,,
Bitter Lemon,Bitter Lemon,Publisher,,,,,
Bitter Oleander Press,Bitter Oleander Press,Publisher,,,,,
Black Balloon,Black Balloon,Publisher,,,,,
Black Buzzard Press,Black Buzzard Press,Publisher,,,,,
Black Cat,Black Cat,Publisher,,,,,
Black Lawrence Press,Black Lawrence Press,Publisher,,,,,
Black Ocean,Black Ocean,Publisher,,,,,
Black Square Editions,Black Square Editions,Publisher,,,,,
Black Swan,Black Swan,Publisher,,,,,
Black Widow Press,Black Widow Press,Publisher,,,,,
Blaft,Blaft,Publisher,,,,,
BlazeVOX,BlazeVOX,Publisher,,,,,
Bloodaxe,Bloodaxe,Publisher,,,,,
Bloomsbury,Bloomsbury,Publisher,,,,,
Bloomsbury Qatar,Bloomsbury Qatar,Publisher,,,,,
BOA Editions,BOA Editions,Publisher,,,,,
Book Thug,Book Thug,Publisher,,,,,
Bordighera Press,Bordighera Press,Publisher,,,,,
Bottom Dog Press,Bottom Dog Press,Publisher,,,,,
Bucknell University Press,Bucknell University Press,Publisher,,,,,
Burning Deck Press,Burning Deck Press,Publisher,,,,,
Calypso Editions,Calypso Editions,Publisher,,,,,
Canarium,Canarium,Publisher,,,,,
Candle and Fog Publishing,Candle and Fog Publishing,Publisher,,,,,
Canongate,Canongate,Publisher,,,,,
Carnegie Mellon Press,Carnegie Mellon Press,Publisher,,,,,
Central European University Press,Central European University Press,Publisher,,,,,
Chax Press,Chax Press,Publisher,,,,,
Cheeky Frawg,Cheeky Frawg,Publisher,,,,,
Chelsea Editions,Chelsea Editions,Publisher,,,,,
Cheng & Tsui,Cheng & Tsui,Publisher,,,,,
Chin Music Press,Chin Music Press,Publisher,,,,,
Cinco Puntos Press,Cinco Puntos Press,Publisher,,,,,
Citlembik Publications,Citlembik Publications,Publisher,,,,,
City Lights,City Lights,Publisher,,,,,
Clockroot,Clockroot,Publisher,,,,,
CN Times Books,CN Times Books,Publisher,,,,,
Coach House Books,Coach House Books,Publisher,,,,,
Coffee House,Coffee House,Publisher,,,,,
Coimbra Editions,Coimbra Editions,Publisher,,,,,
Columbia University Press,Columbia University Press,Publisher,,,,,
Comma Press,Comma Press,Publisher,,,,,
Contra Mundum Press,Contra Mundum Press,Publisher,,,,,
Copper Canyon,Copper Canyon,Publisher,,,,,
Cornell University Press,Cornell University Press,Publisher,,,,,
Cosmos Publishing,Cosmos Publishing,Publisher,,,,,
Counterpath Press,Counterpath Press,Publisher,,,,,
Counterpoint,Counterpoint,Publisher,,,,,
