ID,Label,Category,Place,"Lat., Long.",PubType,Affiliation,Gender
Nathanael,Nathanael,Translator,,,,,
"??,??","??,??",Translator,,,,,
"Abdel Wahab, Farouk","Abdel Wahab, Farouk",Translator,,,,,
"Aboul-Ela, Hosam","Aboul-Ela, Hosam",Translator,,,,,
"Abrahamsen, Eric","Abrahamsen, Eric",Translator,,,,,
"Abramian, Vraje","Abramian, Vraje",Translator,,,,,
"Abu-Zeid, Kareem James","Abu-Zeid, Kareem James",Translator,,,,,
"Achiron, Marilyn","Achiron, Marilyn",Translator,,,,,
"Acosta, Alejando de","Acosta, Alejando de",Translator,,,,,
"Acosta, Alejandro de","Acosta, Alejandro de",Translator,,,,,
"Aczel, Richard","Aczel, Richard",Translator,,,,,
"Adams, Anne","Adams, Anne",Translator,,,,,
"Adams, Bernard","Adams, Bernard",Translator,,,,,
"Adler, Marc","Adler, Marc",Translator,,,,,
"Ahlander, Astri von Arbin","Ahlander, Astri von Arbin",Translator,,,,,
"Aitken, Jane","Aitken, Jane",Translator,,,,,
"Aitken, Martin","Aitken, Martin",Translator,,,,,
"Aitkin, Martin","Aitkin, Martin",Translator,,,,,
"Aji, Aron","Aji, Aron",Translator,,,,,
"Akash, Munir","Akash, Munir",Translator,,,,,
"Alcala, Rosa","Alcala, Rosa",Translator,,,,,
"Alexander, Zaia","Alexander, Zaia",Translator,,,,,
"Ali, Kazim","Ali, Kazim",Translator,,,,,
"Alland, Sonia","Alland, Sonia",Translator,,,,,
"Allen, Chris","Allen, Chris",Translator,,,,,
"Allen, Esther","Allen, Esther",Translator,,,,,
"Allen, Roger","Allen, Roger",Translator,,,,,
"Alpin, Hugh","Alpin, Hugh",Translator,,,,,
"Althoff, Adrian","Althoff, Adrian",Translator,,,,,
"Alvi, Moniza","Alvi, Moniza",Translator,,,,,
"Amassian, Margaret","Amassian, Margaret",Translator,,,,,
"Amin, Omnia","Amin, Omnia",Translator,,,,,
"Anderson, Alison","Anderson, Alison",Translator,,,,,
"Anderson, Erland","Anderson, Erland",Translator,,,,,
"Anderson, James","Anderson, James",Translator,,,,,
"Anderson, Jean","Anderson, Jean",Translator,,,,,
"Andrews, Chris","Andrews, Chris",Translator,,,,,
"Angel, Mitzi","Angel, Mitzi",Translator,,,,,
"Angles, Jeffrey","Angles, Jeffrey",Translator,,,,,
"Anson, John","Anson, John",Translator,,,,,
"Anthony, Brother","Anthony, Brother",Translator,,,,,
"Antoon, Sinan","Antoon, Sinan",Translator,,,,,
"Aoyama, Tomoko","Aoyama, Tomoko",Translator,,,,,
"Apollonio, Carol","Apollonio, Carol",Translator,,,,,
"Appel, Anne Milano","Appel, Anne Milano",Translator,,,,,
"Arbin Ahlander, Astri von","Arbin Ahlander, Astri von",Translator,,,,,
"Ardemagni, Enrica","Ardemagni, Enrica",Translator,,,,,
"Ardizzone, Sarah","Ardizzone, Sarah",Translator,,,,,
"Arenal, Electa","Arenal, Electa",Translator,,,,,
"Arnadottir, Bjorg","Arnadottir, Bjorg",Translator,,,,,
"Arnds, Peter","Arnds, Peter",Translator,,,,,
"Aronoff, Phyllis","Aronoff, Phyllis",Translator,,,,,
"Arsovska, Ljubica","Arsovska, Ljubica",Translator,,,,,
"Ascher, Gabriel","Ascher, Gabriel",Translator,,,,,
"Asher, Linda","Asher, Linda",Translator,,,,,
"Atkins, Helen","Atkins, Helen",Translator,,,,,
"Augenbraum, Harold","Augenbraum, Harold",Translator,,,,,
"Auswaks, Alex","Auswaks, Alex",Translator,,,,,
"Avagyan, Shushan","Avagyan, Shushan",Translator,,,,,
"Avasilichioael, Oana","Avasilichioael, Oana",Translator,,,,,
"Aveling, Harry","Aveling, Harry",Translator,,,,,
"Avizievus, Jura","Avizievus, Jura",Translator,,,,,
"Avsey, Ignat","Avsey, Ignat",Translator,,,,,
"Back, Rachel Tzvia","Back, Rachel Tzvia",Translator,,,,,
"Bacon, Eva","Bacon, Eva",Translator,,,,,
"Baer, Ben Conisbee","Baer, Ben Conisbee",Translator,,,,,
"Bajus, Mark","Bajus, Mark",Translator,,,,,
"Baker, John","Baker, John",Translator,,,,,
"Baker, Robert","Baker, Robert",Translator,,,,,
"Balcolm, John","Balcolm, John",Translator,,,,,
"Balcom, John","Balcom, John",Translator,,,,,
"Balfour, Janice","Balfour, Janice",Translator,,,,,
"Ball, David","Ball, David",Translator,,,,,
"Bamia, Aida","Bamia, Aida",Translator,,,,,
"Bance, Alan","Bance, Alan",Translator,,,,,
"Banerjee, Ron","Banerjee, Ron",Translator,,,,,
"Banerjee, Sumanta","Banerjee, Sumanta",Translator,,,,,
"Bapst, Don","Bapst, Don",Translator,,,,,
"Barger, Kenneth Evan","Barger, Kenneth Evan",Translator,,,,,
"Barnett, Ian","Barnett, Ian",Translator,,,,,
"Barr, Allan","Barr, Allan",Translator,,,,,
"Barrett, John","Barrett, John",Translator,,,,,
"Barslund, Charlotte","Barslund, Charlotte",Translator,,,,,
"Bartlett, Don","Bartlett, Don",Translator,,,,,
"Bartlett, Don ","Bartlett, Don ",Translator,,,,,
"Bartlett, Richard","Bartlett, Richard",Translator,,,,,
"Baude, Dawn Michelle","Baude, Dawn Michelle",Translator,,,,,
"Bauer, Curtis","Bauer, Curtis",Translator,,,,,
"Bauer, Maria","Bauer, Maria",Translator,,,,,
"Beals, Kurt","Beals, Kurt",Translator,,,,,
"Beard, Susan","Beard, Susan",Translator,,,,,
"Becker, Daniel Levin","Becker, Daniel Levin",Translator,,,,,
"Beebee, Thomas","Beebee, Thomas",Translator,,,,,
"Bell, Anthea","Bell, Anthea",Translator,,,,,
"Bell, Katja","Bell, Katja",Translator,,,,,
"Bellesia-Contuzzi, Giovanna","Bellesia-Contuzzi, Giovanna",Translator,,,,,
"Bellos, David","Bellos, David",Translator,,,,,
"Benatov, Joseph","Benatov, Joseph",Translator,,,,,
"Benderson, Bruce","Benderson, Bruce",Translator,,,,,
"Benjamin, Ross","Benjamin, Ross",Translator,,,,,
"Bennett, Maria","Bennett, Maria",Translator,,,,,
"Benson, Nicholas","Benson, Nicholas",Translator,,,,,
"Berengarten, Richard","Berengarten, Richard",Translator,,,,,
"Berg, Mary","Berg, Mary",Translator,,,,,
"Berger, John","Berger, John",Translator,,,,,
"Bergmann, Emanuel","Bergmann, Emanuel",Translator,,,,,
"Bergstrom, Brian","Bergstrom, Brian",Translator,,,,,
"Bernardi, Adria","Bernardi, Adria",Translator,,,,,
"Bernofsky, Susan","Bernofsky, Susan",Translator,,,,,
"Berris, Anthony","Berris, Anthony",Translator,,,,,
"Berry, Michael","Berry, Michael",Translator,,,,,
"Bielenberg, Katharina","Bielenberg, Katharina",Translator,,,,,
"Bien, Peter","Bien, Peter",Translator,,,,,
"Biggings, Michael","Biggings, Michael",Translator,,,,,
"Biggins, Michael","Biggins, Michael",Translator,,,,,
"Bignold, Kate","Bignold, Kate",Translator,,,,,
"Bilodeau, Chantal","Bilodeau, Chantal",Translator,,,,,
"Bilu, Dalya","Bilu, Dalya",Translator,,,,,
"Bingul, Figen","Bingul, Figen",Translator,,,,,
"Bird, George","Bird, George",Translator,,,,,
"Birnbaum, Alfred","Birnbaum, Alfred",Translator,,,,,
"Black, Tamsin","Black, Tamsin",Translator,,,,,
"Black, Tasmin","Black, Tasmin",Translator,,,,,
"Blair, Dorothy","Blair, Dorothy",Translator,,,,,
"Blasing, Mutlu Konuk","Blasing, Mutlu Konuk",Translator,,,,,
"Bloomfield, Andrew","Bloomfield, Andrew",Translator,,,,,
"Bludeau, Todd","Bludeau, Todd",Translator,,,,,
"Blumenthal, Michael","Blumenthal, Michael",Translator,,,,,
"Bly, Robert","Bly, Robert",Translator,,,,,
"Blyth, Alistair Ian","Blyth, Alistair Ian",Translator,,,,,
"Bober, Robert","Bober, Robert",Translator,,,,,
"Boehm, Deborah","Boehm, Deborah",Translator,,,,,
"Boehm, Philip","Boehm, Philip",Translator,,,,,
"Bogoczek, Barbara","Bogoczek, Barbara",Translator,,,,,
"Bonaffini, Luigi","Bonaffini, Luigi",Translator,,,,,
"Bononno, Robert","Bononno, Robert",Translator,,,,,
"Books, Gallic","Books, Gallic",Translator,,,,,
"Booth, Marilyn","Booth, Marilyn",Translator,,,,,
"Borchardt, Danuta","Borchardt, Danuta",Translator,,,,,
"Borkhuis, Charles","Borkhuis, Charles",Translator,,,,,
"Born, Anne","Born, Anne",Translator,,,,,
"Borrelli, Joan","Borrelli, Joan",Translator,,,,,
"Borzutzky, Daniel","Borzutzky, Daniel",Translator,,,,,
"Botbol, Mery","Botbol, Mery",Translator,,,,,
"Botsford, Aubrey","Botsford, Aubrey",Translator,,,,,
"Botsford, Clarissa","Botsford, Clarissa",Translator,,,,,
"Bouis, Antonia","Bouis, Antonia",Translator,,,,,
"Bowd, Gavin","Bowd, Gavin",Translator,,,,,
"Bowen, Sarah","Bowen, Sarah",Translator,,,,,
"Bowles, Daniel","Bowles, Daniel",Translator,,,,,
"Boyce, Emily","Boyce, Emily",Translator,,,,,
"Boyle, Peter","Boyle, Peter",Translator,,,,,
"Bradbury, Rod","Bradbury, Rod",Translator,,,,,
"Bradbury, Steve","Bradbury, Steve",Translator,,,,,
"Bradford, Lisa","Bradford, Lisa",Translator,,,,,
"Bragan-Turner, Deborah","Bragan-Turner, Deborah",Translator,,,,,
"Brahic, Beverley Bie","Brahic, Beverley Bie",Translator,,,,,
"Braz, Jaime","Braz, Jaime",Translator,,,,,
"Breytenbach, Breyten","Breytenbach, Breyten",Translator,,,,,
"Brink, Andre","Brink, Andre",Translator,,,,,
"Brock, Oliver","Brock, Oliver",Translator,,,,,
"Brock, Ollie","Brock, Ollie",Translator,,,,,
"Bromfield, Andrew","Bromfield, Andrew",Translator,,,,,
"Brooke, D. E.","Brooke, D. E.",Translator,,,,,
"Brookshaw, David","Brookshaw, David",Translator,,,,,
"Brown, Andrew","Brown, Andrew",Translator,,,,,
"Browne, Wayles","Browne, Wayles",Translator,,,,,
